platform,pincode,city,date_ist,run_id,status,sku_count,price_seen
amazon-fresh,110083,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,4,1545
amazon-fresh,110084,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,6,1545
amazon-fresh,110085,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,4,1545
amazon-fresh,110086,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,7,1545
amazon-fresh,110087,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,8,1917
amazon-fresh,110088,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,7,939
amazon-fresh,110089,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,10,1193
amazon-fresh,110090,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,6,1205
amazon-fresh,110091,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,17,959
amazon-fresh,110092,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,7,1545
amazon-fresh,110093,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,7,1545
amazon-fresh,110094,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,6,1545
amazon-fresh,110095,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,7,1545
amazon-fresh,110096,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,15,959
amazon-fresh,110097,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,22,1139
amazon-fresh,110099,Delhi,2026-06-30,2026-06-30-amzcov-fresh,not_serviceable,0,
amazon-fresh,110110,Delhi,2026-06-30,2026-06-30-amzcov-fresh,not_serviceable,0,
amazon-fresh,122001,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,price_captured,8,485
amazon-fresh,122002,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,price_captured,13,959
amazon-fresh,122003,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,price_captured,15,1024
amazon-fresh,122004,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,price_captured,6,1205
amazon-fresh,122005,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,price_captured,6,1205
amazon-fresh,122006,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,not_serviceable,0,
amazon-fresh,122007,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,price_captured,9,951
amazon-fresh,122008,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,price_captured,9,951
amazon-fresh,122009,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,price_captured,14,959
amazon-fresh,122010,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,price_captured,13,959
amazon-fresh,122011,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,price_captured,6,1205
amazon-fresh,122012,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,price_captured,11,959
amazon-fresh,122015,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,price_captured,9,951
amazon-fresh,122016,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,price_captured,13,959
amazon-fresh,122017,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,price_captured,6,1205
amazon-fresh,122018,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,price_captured,6,1205
amazon-fresh,122051,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,price_captured,6,1205
amazon-fresh,122052,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,price_captured,5,1205
amazon-fresh,122098,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,not_serviceable,0,
amazon-fresh,122101,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,price_captured,1,242
amazon-fresh,122102,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,not_serviceable,0,
amazon-fresh,122103,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,not_serviceable,0,
amazon-fresh,122413,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,not_serviceable,0,
amazon-fresh,122414,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,not_serviceable,0,
amazon-fresh,122502,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,not_serviceable,0,
amazon-fresh,122503,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,not_serviceable,0,
amazon-fresh,122504,Gurugram,2026-06-30,2026-06-30-amzcov-fresh,not_serviceable,0,
